Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
BOOL,BOOL,Boolean,1,R/W,100,,,,,,,,,,,
CHARSINT,CHARSINT,Char,1,R/W,100,,,,,,,,,,,
DINT,DINT,Long,1,R/W,100,,,,,,,,,,,
INT,INT,Short,1,R/W,100,,,,,,,,,,,
LINT,LINT,Date,1,R/W,100,,,,,,,,,,,
LREAL,LREAL,Double,1,R/W,100,,,,,,,,,,,
REAL,REAL,Float,1,R/W,100,,,,,,,,,,,
SHORTINT,SHORTINT,Short,1,R/W,100,,,,,,,,,,,
SINT,SINT,Char,1,R/W,100,,,,,,,,,,,
UDINT,UDINT,DWord,1,R/W,100,,,,,,,,,,,
UINT,UINT,Word,1,R/W,100,,,,,,,,,,,
ULINT,ULINT,Double,1,R/W,100,,,,,,,,,,,
USINT,USINT,Byte,1,R/W,100,,,,,,,,,,,
WORDINT,WORDINT,Short,1,R/W,100,,,,,,,,,,,
